bearing_id,t,state
1,0,H
1,1,H
1,2,H
1,3,H
1,4,H
1,5,H
1,6,H
1,7,O_1
1,8,O_1
1,9,O_1
1,10,O_1
1,11,O_1
1,12,O_1
1,13,O_1
1,14,O_1
1,15,O_1
1,16,O_1
1,17,O_1
1,18,O_1
1,19,O_1
1,20,O_1
1,21,O_1
1,22,O_1
1,23,O_1
1,24,O_1
1,25,O_2
1,26,O_2
1,27,O_2
1,28,O_2
1,29,O_2
1,30,O_2
1,31,O_2
1,32,O_2
1,33,O_2
1,34,F
2,0,H
2,1,H
2,2,H
2,3,H
2,4,H
2,5,H
2,6,H
2,7,H
2,8,H
2,9,H
2,10,H
2,11,H
2,12,H
2,13,H
2,14,H
2,15,H
2,16,H
2,17,H
2,18,H
2,19,H
2,20,O_1
2,21,O_1
2,22,O_1
2,23,O_1
2,24,O_1
2,25,O_1
2,26,O_1
2,27,O_2
2,28,O_2
2,29,O_2
2,30,O_2
2,31,O_2
2,32,O_2
2,33,O_2
2,34,O_2
2,35,O_2
2,36,O_2
2,37,O_2
2,38,F
3,0,H
3,1,H
3,2,H
3,3,H
3,4,H
3,5,O_1
3,6,O_1
3,7,O_1
3,8,O_1
3,9,O_1
3,10,O_1
3,11,O_1
3,12,O_1
3,13,O_1
3,14,O_1
3,15,O_2
3,16,O_2
3,17,O_2
3,18,O_2
3,19,O_2
3,20,O_2
3,21,O_2
3,22,O_2
3,23,O_2
3,24,O_2
3,25,F
4,0,H
4,1,H
4,2,I_1
4,3,I_2
4,4,I_2
4,5,I_2
4,6,I_2
4,7,I_2
4,8,I_2
4,9,I_2
4,10,I_2
4,11,I_2
4,12,I_2
4,13,F
5,0,H
5,1,H
5,2,H
5,3,H
5,4,H
5,5,O_1
5,6,O_1
5,7,O_1
5,8,O_1
5,9,O_1
5,10,O_1
5,11,O_1
5,12,O_1
5,13,O_1
5,14,O_1
5,15,O_1
5,16,O_1
5,17,O_1
5,18,O_2
5,19,O_2
