alpha,beta,training_bearings,training_operating_observations,training_accuracy,selected
0.0,0.0,700,16629,0.37608996331709665,False
0.0,0.2,700,16629,0.5847014252209994,False
0.0,0.4,700,16629,0.5847014252209994,False
0.0,0.6,700,16629,0.5847014252209994,False
0.0,0.8,700,16629,0.5847014252209994,False
0.0,1.0,700,16629,0.5847014252209994,False
0.0,1.2,700,16629,0.5847014252209994,False
0.0,1.4,700,16629,0.5847014252209994,False
0.0,1.6,700,16629,0.5847014252209994,False
0.0,1.8,700,16629,0.5847014252209994,False
0.0,2.0,700,16629,0.5847014252209994,False
0.2,0.0,700,16629,0.1293523362799928,False
0.2,0.2,700,16629,0.6488063022430693,False
0.2,0.4,700,16629,0.6311864814480727,False
0.2,0.6,700,16629,0.6364784412772867,False
0.2,0.8,700,16629,0.6453785555355103,False
0.2,1.0,700,16629,0.6368993926273377,False
0.2,1.2,700,16629,0.6289013169763666,False
0.2,1.4,700,16629,0.6287810451620662,False
0.2,1.6,700,16629,0.6225870467255998,False
0.2,1.8,700,16629,0.6202417463467437,False
0.2,2.0,700,16629,0.6202417463467437,False
0.4,0.0,700,16629,0.1985687654098262,False
0.4,0.2,700,16629,0.7152564796439954,False
0.4,0.4,700,16629,0.6786938480966985,False
0.4,0.6,700,16629,0.6748451500390883,False
0.4,0.8,700,16629,0.6691923747669734,False
0.4,1.0,700,16629,0.6633591917734079,False
0.4,1.2,700,16629,0.6603523964158999,False
0.4,1.4,700,16629,0.6645619099164111,False
0.4,1.6,700,16629,0.6599314450658488,False
0.4,1.8,700,16629,0.6587287269228457,False
0.4,2.0,700,16629,0.6587287269228457,False
0.6,0.0,700,16629,0.4110890612784894,False
0.6,0.2,700,16629,0.5998556738228397,False
0.6,0.4,700,16629,0.7206687112875098,False
0.6,0.6,700,16629,0.7112875097720849,False
0.6,0.8,700,16629,0.70942329665043,False
0.6,1.0,700,16629,0.7088219375789284,False
0.6,1.2,700,16629,0.7065969090143724,False
0.6,1.4,700,16629,0.7017259005352096,False
0.6,1.6,700,16629,0.6958927175416442,False
0.6,1.8,700,16629,0.6964940766131457,False
0.6,2.0,700,16629,0.7034698418425642,False
0.8,0.0,700,16629,0.4595586024415178,False
0.8,0.2,700,16629,0.632449335498226,False
0.8,0.4,700,16629,0.7421973660472668,False
0.8,0.6,700,16629,0.7400324733898611,False
0.8,0.8,700,16629,0.7394912502255097,False
0.8,1.0,700,16629,0.7389500270611582,False
0.8,1.2,700,16629,0.7400926092970113,False
0.8,1.4,700,16629,0.7435203560045703,False
0.8,1.6,700,16629,0.7476697335979313,False
0.8,1.8,700,16629,0.7468278308978291,False
0.8,2.0,700,16629,0.7447832100547237,False
1.0,0.0,700,16629,0.4994888447892236,False
1.0,0.2,700,16629,0.6938480966985388,False
1.0,0.4,700,16629,0.7468879668049793,False
1.0,0.6,700,16629,0.7604786818209153,False
1.0,0.8,700,16629,0.7628841181069217,False
1.0,1.0,700,16629,0.7644476516928258,False
1.0,1.2,700,16629,0.7670334957002827,False
1.0,1.4,700,16629,0.7690179806362379,False
1.0,1.6,700,16629,0.7713632810150941,False
1.0,1.8,700,16629,0.7736484454868001,True
1.0,2.0,700,16629,0.77358830957965,False
1.2,0.0,700,16629,0.37608996331709665,False
1.2,0.2,700,16629,0.6290215887906669,False
1.2,0.4,700,16629,0.7231944193878165,False
1.2,0.6,700,16629,0.7468278308978291,False
1.2,0.8,700,16629,0.749834626255337,False
1.2,1.0,700,16629,0.7508569366768898,False
1.2,1.2,700,16629,0.7523603343556438,False
1.2,1.4,700,16629,0.7533826447771964,False
1.2,1.6,700,16629,0.7541042756629984,False
1.2,1.8,700,16629,0.7544049551987492,False
1.2,2.0,700,16629,0.7555475374346022,False
1.4,0.0,700,16629,0.37608996331709665,False
1.4,0.2,700,16629,0.4904083228095496,False
1.4,0.4,700,16629,0.5991340429370378,False
1.4,0.6,700,16629,0.7056347344999699,False
1.4,0.8,700,16629,0.7077996271573757,False
1.4,1.0,700,16629,0.7082205785074268,False
1.4,1.2,700,16629,0.70942329665043,False
1.4,1.4,700,16629,0.7132719947080401,False
1.4,1.6,700,16629,0.7157375669011967,False
1.4,1.8,700,16629,0.7179625954657526,False
1.4,2.0,700,16629,0.7201274881231583,False
1.6,0.0,700,16629,0.37608996331709665,False
1.6,0.2,700,16629,0.43057309519514103,False
1.6,0.4,700,16629,0.5424860184015876,False
1.6,0.6,700,16629,0.6564435624511396,False
1.6,0.8,700,16629,0.6649227253593121,False
1.6,1.0,700,16629,0.6655240844308137,False
1.6,1.2,700,16629,0.6655240844308137,False
1.6,1.4,700,16629,0.6657646280594143,False
1.6,1.6,700,16629,0.6686511516026219,False
1.6,1.8,700,16629,0.6703349570028264,False
1.6,2.0,700,16629,0.6706957724457273,False
1.8,0.0,700,16629,0.37608996331709665,False
1.8,0.2,700,16629,0.3849900775753202,False
1.8,0.4,700,16629,0.5022550965181309,False
1.8,0.6,700,16629,0.5591436646821817,False
1.8,0.8,700,16629,0.6649227253593121,False
1.8,1.0,700,16629,0.6655240844308137,False
1.8,1.2,700,16629,0.6655240844308137,False
1.8,1.4,700,16629,0.6655240844308137,False
1.8,1.6,700,16629,0.6655240844308137,False
1.8,1.8,700,16629,0.6655240844308137,False
1.8,2.0,700,16629,0.6655240844308137,False
2.0,0.0,700,16629,0.37608996331709665,False
2.0,0.2,700,16629,0.37608996331709665,False
2.0,0.4,700,16629,0.4640687954777798,False
2.0,0.6,700,16629,0.5432076492873895,False
2.0,0.8,700,16629,0.6570449215226412,False
2.0,1.0,700,16629,0.6649227253593121,False
2.0,1.2,700,16629,0.6655240844308137,False
2.0,1.4,700,16629,0.6655240844308137,False
2.0,1.6,700,16629,0.6655240844308137,False
2.0,1.8,700,16629,0.6655240844308137,False
2.0,2.0,700,16629,0.6655240844308137,False
