method,metric,point_estimate,bootstrap_mean,bootstrap_sd,ci_2_5,ci_97_5
Diagnostic-only label,accuracy,0.6283057250799187,0.6280341654787795,0.02183321689561995,0.5854894140707897,0.6686834219156395
Diagnostic-only label,balanced_accuracy,0.7253007727045967,0.7254689852140337,0.003817351565674164,0.7177953511321533,0.7329638640478586
Diagnostic-only label,severity_1_exact_accuracy,0.4156279961649089,0.41642514264767466,0.025764035982021535,0.36795039564106097,0.4671643749976925
Diagnostic-only label,severity_2_exact_accuracy,0.3004179728317659,0.30106815296609296,0.03406744796237643,0.23803833031068533,0.36939526007565604
Belief-updated label,accuracy,0.7898866608544028,0.789875191005676,0.013745580078764188,0.7613522060134393,0.816191803746322
Belief-updated label,balanced_accuracy,0.7723316054162371,0.7730264567835786,0.008626393243643064,0.7570778171612799,0.7908192846203854
Belief-updated label,severity_1_exact_accuracy,0.4827420901246405,0.48393411189626384,0.02643368241468261,0.4341664362952016,0.5363550156060344
Belief-updated label,severity_2_exact_accuracy,0.8082549634273772,0.8078307697555457,0.021985712104914474,0.7649023754975618,0.8522291222922143
Diagnostic-evidence policy,cost_rate,0.7299270072992701,0.7316141316754771,0.028863414228828158,0.6750637099705471,0.7896866931390858
Diagnostic-evidence policy,cost_per_bearing,10.0,10.0,0.0,10.0,10.0
Diagnostic-evidence policy,cycle_length,13.7,13.689658333333332,0.5398301146206329,12.663250000000001,14.813416666666665
Diagnostic-evidence policy,preventive_replacements,300.0,300.0,0.0,300.0,300.0
Diagnostic-evidence policy,corrective_replacements,0.0,0.0,0.0,0.0,0.0
Belief-updated policy,cost_rate,0.6816692156434345,0.6823226936479663,0.0295934018093292,0.6265457543281121,0.7438942415415639
Belief-updated policy,cost_per_bearing,10.4,10.391066666666667,0.22838478209643368,10.0,10.933333333333334
Belief-updated policy,cycle_length,15.256666666666666,15.249028333333332,0.5367092227774287,14.209833333333334,16.356749999999998
Belief-updated policy,preventive_replacements,297.0,297.067,1.7128858657232526,293.0,300.0
Belief-updated policy,corrective_replacements,3.0,2.933,1.7128858657232526,0.0,7.0
