policy,bearing_id,event,event_t,cycle_length,total_cost,trigger_state,trigger_score
CBR0,701,PM,26,26,10.0,O_2,0.5714285714285714
CBR0,702,PM,9,9,10.0,O_2,0.5714285714285714
CBR0,703,PM,38,38,10.0,O_2,0.5714285714285714
CBR0,704,PM,3,3,10.0,O_2,0.5714285714285714
CBR0,705,PM,7,7,10.0,O_2,0.5714285714285714
CBR0,706,PM,2,2,10.0,O_2,0.5714285714285714
CBR0,707,PM,9,9,10.0,O_2,0.5714285714285714
CBR0,708,PM,5,5,10.0,I_2,0.9375
CBR0,709,PM,21,21,10.0,I_2,0.9375
CBR0,710,PM,13,13,10.0,I_2,0.9375
CBR0,711,PM,13,13,10.0,O_2,0.5714285714285714
CBR0,712,PM,2,2,10.0,B_2,1.0
CBR0,713,PM,6,6,10.0,I_2,0.9375
CBR0,714,PM,33,33,10.0,O_2,0.5714285714285714
CBR0,715,PM,20,20,10.0,O_2,0.5714285714285714
CBR0,716,PM,12,12,10.0,I_2,0.9375
CBR0,717,PM,11,11,10.0,I_2,0.9375
CBR0,718,PM,9,9,10.0,O_2,0.5714285714285714
CBR0,719,PM,3,3,10.0,O_2,0.5714285714285714
CBR0,720,PM,6,6,10.0,O_2,0.5714285714285714
CBR0,721,PM,22,22,10.0,O_2,0.5714285714285714
CBR0,722,PM,10,10,10.0,O_2,0.5714285714285714
CBR0,723,PM,4,4,10.0,I_2,0.9375
CBR0,724,PM,4,4,10.0,B_2,1.0
CBR0,725,PM,10,10,10.0,I_2,0.9375
CBR0,726,PM,24,24,10.0,I_2,0.9375
CBR0,727,PM,25,25,10.0,B_2,1.0
CBR0,728,PM,6,6,10.0,O_2,0.5714285714285714
CBR0,729,PM,16,16,10.0,O_2,0.5714285714285714
CBR0,730,PM,5,5,10.0,O_2,0.5714285714285714
CBR0,731,PM,31,31,10.0,I_2,0.9375
CBR0,732,PM,6,6,10.0,O_2,0.5714285714285714
CBR0,733,PM,1,1,10.0,O_2,0.5714285714285714
CBR0,734,PM,9,9,10.0,O_2,0.5714285714285714
CBR0,735,PM,9,9,10.0,O_2,0.5714285714285714
CBR0,736,PM,2,2,10.0,O_2,0.5714285714285714
CBR0,737,PM,9,9,10.0,O_2,0.5714285714285714
CBR0,738,PM,4,4,10.0,O_2,0.5714285714285714
CBR0,739,PM,4,4,10.0,O_2,0.5714285714285714
CBR0,740,PM,6,6,10.0,O_2,0.5714285714285714
CBR0,741,PM,6,6,10.0,I_2,0.9375
CBR0,742,PM,30,30,10.0,O_2,0.5714285714285714
CBR0,743,PM,16,16,10.0,O_2,0.5714285714285714
CBR0,744,PM,6,6,10.0,B_2,1.0
CBR0,745,PM,15,15,10.0,I_2,0.9375
CBR0,746,PM,10,10,10.0,I_2,0.9375
CBR0,747,PM,7,7,10.0,I_2,0.9375
CBR0,748,PM,21,21,10.0,I_2,0.9375
CBR0,749,PM,7,7,10.0,B_2,1.0
CBR0,750,PM,10,10,10.0,I_2,0.9375
CBR0,751,PM,4,4,10.0,O_2,0.5714285714285714
CBR0,752,PM,10,10,10.0,O_2,0.5714285714285714
CBR0,753,PM,21,21,10.0,O_2,0.5714285714285714
CBR0,754,PM,6,6,10.0,O_2,0.5714285714285714
CBR0,755,PM,17,17,10.0,I_2,0.9375
CBR0,756,PM,15,15,10.0,O_2,0.5714285714285714
CBR0,757,PM,21,21,10.0,I_2,0.9375
CBR0,758,PM,7,7,10.0,O_2,0.5714285714285714
CBR0,759,PM,5,5,10.0,O_2,0.5714285714285714
CBR0,760,PM,2,2,10.0,B_2,1.0
CBR0,761,PM,14,14,10.0,O_2,0.5714285714285714
CBR0,762,PM,5,5,10.0,O_2,0.5714285714285714
